gRNA_id,Gene,bm1,bm3,bm4,bm5,LFC_avg_bm,LFC_median_bm,LFC_concordant_mean_bm,LFC_directional_bm,z_score_avg_bm,z_score_median_bm,z_score_concordant_mean_bm,Input_median,d15-1,d15-2,d15-3,LFC_avg_d15,LFC_median_d15,LFC_concordant_mean_d15,LFC_directional_d15,z_score_avg_d15,z_score_median_d15,z_score_concordant_mean_d15,input,LFC_avg_input,LFC_median_input,LFC_concordant_mean_input,LFC_directional_input,z_score_avg_input,z_score_median_input,z_score_concordant_mean_input,spleen1,spleen2,spleen3,spleen4,spleen5,LFC_avg_spleen,LFC_median_spleen,LFC_concordant_mean_spleen,LFC_directional_spleen,z_score_avg_spleen,z_score_median_spleen,z_score_concordant_mean_spleen,gene_name_m_corrected,gene_name_h,HGVSp_m,HGVSp_h,classification,classification_m,sensor_reads_input,corr_perc_input,target_base_edit_perc_input,byproduct_INDEL_perc_input,byproduct_sub_perc_input,sensor_reads_d15,corr_perc_d15,target_base_edit_perc_d15,byproduct_INDEL_perc_d15,byproduct_sub_perc_d15,sensor_reads_bm,corr_perc_bm,target_base_edit_perc_bm,byproduct_INDEL_perc_bm,byproduct_sub_perc_bm,sensor_reads_spleen,corr_perc_spleen,target_base_edit_perc_spleen,byproduct_INDEL_perc_spleen,byproduct_sub_perc_spleen,p_high_unadjusted_d15_fishers,p_low_unadjusted_d15_fishers,FDR_high_d15_fishers,FDR_low_d15_fishers,p_high_unadjusted_d15_stouffers,p_low_unadjusted_d15_stouffers,FDR_high_d15_stouffers,FDR_low_d15_stouffers,FDR_d15_fishers,FDR_d15_stouffers,p_high_unadjusted_spleen_fishers,p_low_unadjusted_spleen_fishers,FDR_high_spleen_fishers,FDR_low_spleen_fishers,p_high_unadjusted_spleen_stouffers,p_low_unadjusted_spleen_stouffers,FDR_high_spleen_stouffers,FDR_low_spleen_stouffers,FDR_spleen_fishers,FDR_spleen_stouffers,p_high_unadjusted_bm_fishers,p_low_unadjusted_bm_fishers,FDR_high_bm_fishers,FDR_low_bm_fishers,p_high_unadjusted_bm_stouffers,p_low_unadjusted_bm_stouffers,FDR_high_bm_stouffers,FDR_low_bm_stouffers,FDR_bm_fishers,FDR_bm_stouffers
gRNA_4,Abl1,-1.2945769203760484,0.2234344708433734,1.0054549598647764,-0.7292211101778393,-0.1987271499614345,-0.25289331966723294,,False,-0.041072042700432826,-0.12505118333048082,,1127.0510908708588,-0.1360201565605057,0.08182216790931525,0.01101723136052945,-0.014393585763553667,0.01101723136052945,0.04641969963492235,True,-0.059442416166405554,-0.02649330410586019,0.0569051596915921,0.0,0.0,0.0,0.0,True,,,,-0.15165462677240735,0.8470976675406593,1.2857361187767404,0.847701492508507,-0.49410791089844963,0.46695454823100996,0.8470976675406593,,False,0.5127851645077938,0.813680338310303,,Abl1,ABL1,E1060K,E1048K,targeting guide,Missense,30,6.666666666666667,23.33333333333333,0.0,33.333333333333336,1954,42.88638689866939,72.26202661207779,0.8188331627430911,36.131013306038895,2210,23.0316742081448,44.57013574660633,0.0,37.33031674208145,14381,54.7667060705097,90.77950073013004,0.0,40.85251373339823,0.456528381987375,0.7887248744245892,0.8245060002271989,0.9999998817512928,0.32428114465583624,0.6758869947025717,0.6419234627281671,1.0,0.8245060002271989,0.6419234627281671,0.26085031863273944,0.9103314937785624,0.7900936157141047,0.9999999998463376,0.15191009283590035,0.8482643545454617,0.5358222107541278,1.0,0.7900936157141047,0.5358222107541278,0.5691374537637486,0.6846695061127293,0.9678233114121014,0.9999997819045302,0.43811889192220804,0.5621065185102779,0.8276668404038379,1.0,0.9678233114121014,0.8276668404038379
gRNA_19,Abl1,-0.11698140364154974,1.4118436736306643,-2.984813521036547,1.4690341877642263,-0.055229265820801565,0.6474311349945573,,False,0.07168234881217769,0.5657186531806676,,778.7647245182991,0.6136325907917515,0.34876247278836664,0.2077823955821977,0.3900591530541053,0.34876247278836664,0.3900591530541053,True,0.7309160814623696,0.5513965443148061,0.6825157533622707,0.0,0.0,0.0,0.0,True,,,,0.27926220930114054,-0.399386709817248,0.7437997228634563,0.09281137602544573,0.4031506512867215,0.22392744993190322,0.27926220930114054,0.379755989869191,True,0.27479326069404636,0.2726529580099388,0.29270255790945915,Abl1,ABL1,P592L,P573L,targeting guide,Missense,34,0.0,0.0,0.0,38.23529411764706,2335,2.78372591006424,43.683083511777305,1.0706638115631693,91.00642398286938,4229,0.0,20.09931425869,0.0,99.00685741310002,8665,0.1154068090017311,1.5002885170225044,0.0,88.07847663012117,0.01883296802901497,0.995490758197496,0.16554573994735536,0.9999998817512928,0.008716501764772986,0.9913170774182483,0.08116031643199736,1.0,0.16554573994735536,0.08116031643199736,0.48426884104049717,0.8658966129424237,0.9707292121957213,0.9999999998463376,0.28323591957919164,0.7169702665057395,0.7192475775980685,1.0,0.9707292121957213,0.7192475775980685,0.32297008982050923,0.5659669327266252,0.7773974568048849,0.9999997819045302,0.3441791601880243,0.6561371113385747,0.740513602419908,1.0,0.7773974568048849,0.740513602419908
gRNA_21,Abl1,-1.6515540148776295,1.7306365651066633,1.8948368627550987,-2.4101047303934595,-0.10904632935233177,0.03954127511451688,,False,0.029395242714179547,0.09931792736248275,,808.3051050438753,0.08252348459843035,0.1820089598721277,0.44174070735698856,0.23542438394251555,0.1820089598721277,0.23542438394251555,True,0.42873762631459,0.266077462111339,0.4009964204001679,0.0,0.0,0.0,0.0,True,,,,-0.7767151226990857,-0.3882566190637967,0.744136533542905,-0.18852315074960813,-1.2054093085440734,-0.36295353350273174,-0.3882566190637967,-0.639726050264141,True,-0.29992833840841265,-0.3633516411588496,-0.4231317537651198,Abl1,ABL1,A737T,A719T,targeting guide,Missense,0,0.0,0.0,0.0,0.0,2057,0.6319883325230918,93.58288770053476,3.840544482255712,90.22848808945064,268,0.0,99.25373134328358,0.0,100.0,717,0.0,99.442119944212,0.0,99.442119944212,0.07063652011416718,0.9761323288998396,0.3344561409291517,0.9999998817512928,0.03965933462292922,0.9604183174627638,0.20431058861074602,1.0,0.3344561409291517,0.20431058861074602,0.7902042854168169,0.48942275884105135,0.9999999358013287,0.9999999998463376,0.6686616316788749,0.3315763547224373,0.9956374662202012,1.0,0.9999999358013287,0.9956374662202012,0.29277754402757766,0.486544412699499,0.7510640262095207,0.9999997819045302,0.38506688286049306,0.6152891167432057,0.7908971760713068,1.0,0.7510640262095207,0.7908971760713068
gRNA_289,Apc,-2.090854500766474,-1.4390968750888828,-0.18933926872316642,-6.397319131984637,-2.5291524441407898,-1.7649756879276783,-2.5291524441407898,True,-1.8722188054866353,-1.285189492254932,-1.36092303534271,754.0454684645712,0.48565180900474936,0.023614698700244206,0.21974818551711536,0.243004897740703,0.21974818551711536,0.243004897740703,True,0.44355103446285504,0.3306501420854401,0.41479707597223875,0.0,0.0,0.0,0.0,True,,,,-1.3051619819921962,-1.6269723765829314,-0.18603015889006722,-0.3152787307363244,-2.9005769101310124,-1.2668040316665063,-1.3051619819921962,-1.2668040316665063,True,-1.1850522703752675,-1.2369689880334065,-0.863437632154836,Apc,APC,R403*,R405delins*,targeting guide,Nonsense,65,0.0,4.615384615384615,0.0,69.23076923076923,9183,7.306980289665686,58.0202548186867,0.1197865621256669,82.09735380594577,1578,0.6337135614702155,33.90367553865653,1.267427122940431,77.82002534854246,5609,0.4278837582456766,43.66197183098591,0.0,87.52005705116777,0.06739200158100835,0.9698949409848652,0.33036390361712686,0.9999998817512928,0.04085083312738958,0.9592344468013522,0.20705442435938995,1.0,0.33036390361712686,0.20705442435938995,0.9776828282548181,0.07739274603766604,0.9999999358013287,0.7052899451930766,0.9624229241776667,0.037666617800623914,1.0,0.3912970130197046,0.7052899451930766,0.3912970130197046,0.9590826099811608,0.02971855770422541,0.9999999686202036,0.8198178996251837,0.9739615122078878,0.02620478047881177,1.0,0.5597913368171581,0.8198178996251837,0.5597913368171581
gRNA_295,Apc,-1.5124479257109524,-3.5842276516937908,-2.8957812779845855,1.6224570180861428,-1.5924999593257962,-2.204114601847769,-2.664152285129776,True,-1.1362380513691313,-1.6221168235115473,-1.4384425133028313,40.67545224993878,0.5322164239575871,0.4661839993117532,0.9660957031929676,0.6548320421541026,0.5322164239575871,0.6548320421541026,True,1.248320175334134,0.8652904591044379,1.1645463313113373,0.0,0.0,0.0,0.0,True,,,,-0.8539263570907526,-3.5879315011915063,-3.341367328665494,-9.745410019808018,-1.3344279194840567,-3.772612625247966,-3.341367328665494,-3.772612625247966,True,-3.63894388144707,-3.1770430508256684,-2.622903418859657,Apc,APC,S2355L,S2355L,targeting guide,Missense,0,0.0,0.0,0.0,0.0,2410,29.95850622406639,75.97510373443983,0.6639004149377593,52.19917012448133,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0016629636456033073,0.9998426786070359,0.06743049362978572,0.9999998817512928,0.000547668241057282,0.9994579801248367,0.021664807551556364,1.0,0.06743049362978572,0.021664807551556364,0.9996526586553255,2.6739112489342134e-05,0.9999999358013287,0.004201383049887882,1.0,2.4716027072692614e-05,1.0,0.003489142519076375,0.004201383049887882,0.003489142519076375,0.7670183274492788,0.0947221184535353,0.9999999686202036,0.9999997819045302,0.8914815802025042,0.10872855228460016,1.0,0.8257762764555654,0.9999997819045302,0.8257762764555654
gRNA_303,Apc,0.8007787571258469,2.638104178553888,1.558141910446006,-2.028655264181555,0.7420923954860464,1.1794603337859264,1.6656749487085802,True,0.6981830062878709,0.97391563235339,1.047826687947926,109.50146356739447,0.10665408663478512,0.6642457830792123,0.6020305402386266,0.457643469984208,0.6020305402386266,0.457643469984208,True,0.86298550284469,0.9847440120389293,0.8055559462643718,0.0,0.0,0.0,0.0,True,,,,1.7237931637952935,-0.6585004163954461,1.2604890981020627,1.2091606272665505,1.4792061662126272,1.0028297277962175,1.2604890981020627,1.4181622638441334,True,1.0375577313690185,1.2075551474119837,1.021824613136839,Apc,APC,P2448S,P2448S,targeting guide,Missense,3,0.0,0.0,0.0,33.333333333333336,1752,0.1141552511415525,96.46118721461188,0.1712328767123287,98.23059360730592,3277,0.0,94.56820262435154,0.0,99.05401281660056,1176,0.1700680272108843,93.5374149659864,0.0,98.21428571428572,0.009724844531215034,0.993742111969931,0.12103098589838908,0.9999998817512928,0.005250511254345841,0.9947788780515309,0.059999024061024746,1.0,0.12103098589838908,0.059999024061024746,0.05119597010468968,0.9766679399881247,0.34598566893330607,0.9999999998463376,0.024924051981115778,0.975138599094048,0.18987595963795473,1.0,0.34598566893330607,0.18987595963795473,0.09637592018514055,0.8151644778735792,0.5047688819696736,0.9999997819045302,0.10084935173153892,0.8993556376179754,0.4416990770959736,1.0,0.5047688819696736,0.4416990770959736
gRNA_304,Apc,0.12638288858719754,-2.730035993114478,3.315962385212811,0.8916861759442992,0.40099886415745734,0.5090345322657484,1.4446771499147693,True,0.43016655570278295,0.4595344901873496,0.9209255459367301,135.00390461456252,0.013563197680386977,0.2395334030336083,0.0640508792779387,0.10571582666397798,0.0640508792779387,0.10571582666397798,True,0.1752685541061837,0.064248482889042,0.1648563418504351,0.0,0.0,0.0,0.0,True,,,,-0.5191716854276054,0.7740732048798411,-2.3814610661654916,1.3820338614268486,2.2663495848877577,0.3043647799202701,0.7740732048798411,,False,0.35356403743296455,0.7441034333144207,,Apc,APC,T487I,T489I,targeting guide,Missense,29,0.0,3.4482758620689653,0.0,44.82758620689656,1473,40.936863543788185,74.8133061778683,0.4073319755600815,45.89273591310251,4846,1.2174989682212134,5.633512174989682,0.0206355757325629,48.968221213371855,10914,43.16474253252703,67.96774784680227,0.0,42.36760124610592,0.22355851821405348,0.9233297135768953,0.5903635659560195,0.9999998817512928,0.13680702264482497,0.8633174506256871,0.4075714604870336,1.0,0.5903635659560195,0.4075714604870336,0.13233481314519452,0.6028854542628128,0.581625385047236,0.9999999998463376,0.19807811026948258,0.8023216651953718,0.6087632875519305,1.0,0.581625385047236,0.6087632875519305,0.10342078855478846,0.6356093923240531,0.513625513218139,0.9999997819045302,0.17572182308814782,0.8247615386251559,0.5461288243080409,1.0,0.513625513218139,0.5461288243080409
gRNA_311,Apc,-1.8124333222476334,-1.045537818842408,-0.17651919949138178,-2.553098666728597,-1.3968972518275051,-1.4289855705450207,-1.3968972518275051,True,-0.9825419575607082,-1.0274026052587701,-0.7107605552778373,105.00303692243753,-0.08353941351542941,-0.10165790455396191,-0.5273754007721804,-0.23752423961385724,-0.10165790455396191,-0.23752423961385724,True,-0.49547162656954796,-0.21928304390835462,-0.4600271501323642,0.0,0.0,0.0,0.0,True,,,,-3.030518898876999,-0.9766214835863214,-1.1736639625359233,-0.46973986797057365,-2.372703267492256,-1.6046494960924147,-1.1736639625359233,-1.6046494960924147,True,-1.5158980313471713,-1.1116791211383659,-1.1006574810185488,Apc,APC,Q997*,Q999delins*,targeting guide,Nonsense,17,0.0,11.764705882352942,0.0,58.8235294117647,633,3.949447077409163,13.11216429699842,0.0,43.28593996840442,198,3.0303030303030303,9.595959595959595,0.0,41.41414141414141,651,3.840245775729647,10.599078341013826,0.0,43.62519201228879,0.7893005432781748,0.3404681116371071,0.9999999658148396,0.9999998817512928,0.7323092309012846,0.2678774354319487,0.9427988414901213,1.0,0.9999998817512928,0.9427988414901213,0.9940787276582789,0.033224142283374496,0.9999999358013287,0.5364344757446557,0.9875139441644423,0.012527099220783933,1.0,0.22075208069659902,0.5364344757446557,0.22075208069659902,0.9273798469421027,0.21582027266783615,0.9999999686202036,0.9999997819045302,0.8746295268814858,0.1255120373930284,1.0,0.881389000016965,0.9999997819045302,0.881389000016965
gRNA_319,Apc,4.71598887417381,1.266160838554826,3.5350683207502467,0.3834552185133058,2.475168312998047,2.400614579652536,2.475168312998047,True,2.059958628935479,1.9108406646619371,1.5126531836844757,150.870295801851,0.5992726204261908,0.8491608617030962,0.6300989224960899,0.6928441348751256,0.6300989224960899,0.6928441348751256,True,1.3226012411084418,1.0327696573436744,1.233749001893098,0.0,0.0,0.0,0.0,True,,,,1.6216168692057096,1.2621214178011892,1.7396400251670743,0.9320150104661736,1.211071324236578,1.3532929293753448,1.2621214178011892,1.3532929293753448,True,1.3807598069574107,1.2091104036711986,0.9762762919695723,Apc,APC,H1843Y,H1845Y,targeting guide,Missense,17,0.0,0.0,0.0,52.94117647058823,1695,66.01769911504425,88.023598820059,0.4129793510324483,28.613569321533923,129688,73.14323607427056,99.91055456171736,0.0,26.796619579298007,5957,76.90112472721168,98.18700688265906,0.0,21.94057411448716,0.0010897722944320967,0.9999306366939068,0.05479375096404582,0.9999998817512928,0.0003292006099643798,0.9996744968802513,0.016601686956303107,1.0,0.05479375096404582,0.016601686956303107,0.020697922652176556,0.9992039609050606,0.21681073978154944,0.9999999998463376,0.004925989359435743,0.9950904667880656,0.08078434216445328,1.0,0.21681073978154944,0.08078434216445328,0.00029961947952243147,0.9959961642520503,0.024109057357613515,0.9999997819045302,0.00033116137399903314,0.9996969779065815,0.01734457696319936,1.0,0.024109057357613515,0.01734457696319936
gRNA_324,Apc,0.4120425979937137,-0.26878779571775113,-0.5892195733549984,1.936631906825605,0.3726667839366423,0.07162740113798127,,False,0.4079044402387412,0.12393586138920053,,665.9983439567804,0.17703938277306594,-0.22305811592454244,-0.07608696746206305,-0.04070190020451318,-0.07608696746206305,-0.14957254169330275,True,-0.11085262527386908,-0.17553058451754147,-0.29990725294668585,0.0,0.0,0.0,0.0,True,,,,1.1434941878029312,-0.25132246285512466,-0.7448911635740009,-2.4863861073739795,1.1536186554740586,-0.23709737810522308,-0.25132246285512466,,False,-0.1766797532120925,-0.23288228294563137,,Apc,APC,S2025F,S2026F,targeting guide,Missense,40,2.5,22.5,0.0,80.0,2225,4.089887640449438,64.98876404494382,0.3595505617977528,85.12359550561797,28584,0.0,99.77609851665268,0.0,99.9790092359362,4978,0.1004419445560466,79.99196464443551,0.0,92.56729610285257,0.4598703569452507,0.7059981768013515,0.8275196260629135,0.9999998817512928,0.37161484149105306,0.6285787141656912,0.6859322404614592,1.0,0.8275196260629135,0.6859322404614592,0.4939970892792507,0.41511612057328684,0.9768614219496143,0.9999999998463376,0.5351111176708767,0.46528010059809116,0.9139058083047445,1.0,0.9768614219496143,0.9139058083047445,0.2980823228282624,0.862837987770333,0.7584807283302143,0.9999997819045302,0.20451186245658837,0.7956831342405574,0.5825987327248197,1.0,0.7584807283302143,0.5825987327248197
