,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
252,gRNA_3086,3151.0,935.0,15018.0,198.0,193.0,714.0,188.0,59.0,118.0,33.0,54.0,47.0,1692.0
256,gRNA_3107,2045.0,643.0,6293.0,644.0,666.0,1553.0,560.0,209.0,1197.0,108.0,148.0,247.0,2176.0
259,gRNA_3522,1588.0,557.0,5235.0,344.0,235.0,1563.0,323.0,64.0,1341.0,137.0,81.0,84.0,3221.0
260,gRNA_3523,2252.0,937.0,11862.0,307.0,198.0,596.0,337.0,46.0,306.0,43.0,53.0,144.0,1974.0
261,gRNA_3524,4621.0,1511.0,22712.0,486.0,392.0,921.0,349.0,103.0,399.0,138.0,108.0,195.0,3803.0
262,gRNA_3525,2346.0,826.0,9706.0,374.0,309.0,777.0,345.0,107.0,694.0,51.0,78.0,183.0,3017.0
263,gRNA_3570,3693.0,1209.0,13398.0,462.0,474.0,1505.0,401.0,81.0,430.0,127.0,224.0,269.0,3728.0
264,gRNA_3579,2221.0,1275.0,11024.0,238.0,252.0,724.0,208.0,42.0,1822.0,29.0,60.0,135.0,2143.0
265,gRNA_3580,1159.0,350.0,3798.0,282.0,209.0,712.0,289.0,41.0,324.0,100.0,133.0,80.0,1672.0
266,gRNA_3677,16454.0,5686.0,63157.0,1600.0,1275.0,3637.0,1321.0,304.0,3704.0,340.0,327.0,734.0,9433.0
267,gRNA_3686,1380.0,430.0,4309.0,459.0,402.0,713.0,236.0,79.0,376.0,102.0,56.0,272.0,2865.0
268,gRNA_3698,4262.0,1044.0,12469.0,934.0,964.0,3450.0,799.0,237.0,2272.0,149.0,226.0,415.0,7464.0
269,gRNA_3703,2783.0,572.0,9494.0,551.0,622.0,1431.0,492.0,87.0,907.0,39.0,63.0,330.0,3213.0
270,gRNA_3905,3164.0,1230.0,11407.0,181.0,322.0,564.0,220.0,36.0,191.0,205.0,57.0,168.0,1876.0
271,gRNA_3906,296.0,45.0,1007.0,101.0,109.0,204.0,82.0,29.0,115.0,3.0,14.0,72.0,887.0
272,gRNA_3909,3988.0,1108.0,12888.0,354.0,402.0,1142.0,479.0,57.0,849.0,821.0,170.0,234.0,2985.0
287,gRNA_4033,3135.0,726.0,9244.0,412.0,307.0,1138.0,402.0,64.0,414.0,57.0,110.0,233.0,4321.0
299,gRNA_4195,16307.0,5426.0,71412.0,769.0,835.0,2670.0,1203.0,183.0,1081.0,368.0,259.0,454.0,8494.0
301,gRNA_4440,3363.0,1055.0,15316.0,584.0,431.0,1301.0,514.0,104.0,1293.0,140.0,105.0,260.0,5034.0
304,gRNA_4461,1699.0,531.0,6189.0,288.0,300.0,626.0,201.0,64.0,570.0,114.0,63.0,74.0,1996.0
305,gRNA_4577,1064.0,301.0,4152.0,152.0,95.0,597.0,209.0,27.0,96.0,19.0,35.0,62.0,1428.0
306,gRNA_4578,1382.0,402.0,4580.0,307.0,378.0,701.0,467.0,67.0,365.0,124.0,123.0,184.0,2212.0
307,gRNA_4621,809.0,231.0,2889.0,271.0,83.0,332.0,170.0,33.0,80.0,25.0,21.0,24.0,1322.0
308,gRNA_4628,2155.0,560.0,5938.0,599.0,411.0,848.0,287.0,90.0,1193.0,82.0,82.0,237.0,3471.0
309,gRNA_4735,2255.0,804.0,7736.0,186.0,185.0,611.0,160.0,40.0,332.0,87.0,46.0,59.0,2926.0
316,gRNA_4770,2211.0,723.0,8943.0,332.0,352.0,1180.0,258.0,41.0,468.0,135.0,139.0,179.0,3712.0
317,gRNA_4782,1084.0,294.0,5639.0,237.0,182.0,782.0,313.0,57.0,350.0,139.0,62.0,142.0,2035.0
318,gRNA_4829,4581.0,1136.0,14400.0,389.0,375.0,999.0,370.0,38.0,882.0,82.0,62.0,251.0,4866.0
319,gRNA_4888,1829.0,395.0,7571.0,190.0,133.0,525.0,142.0,20.0,375.0,78.0,68.0,162.0,2211.0
321,gRNA_5194,3130.0,808.0,9792.0,427.0,402.0,1456.0,775.0,81.0,326.0,126.0,145.0,1179.0,4984.0
325,gRNA_5228,1020.0,279.0,3423.0,297.0,353.0,714.0,404.0,28.0,377.0,120.0,211.0,130.0,1921.0
326,gRNA_5236,2630.0,703.0,8071.0,574.0,885.0,1415.0,522.0,153.0,3606.0,117.0,88.0,333.0,3536.0
338,gRNA_5373,9950.0,2879.0,37166.0,689.0,818.0,1605.0,762.0,146.0,1392.0,993.0,143.0,538.0,7363.0
339,gRNA_5374,3407.0,1256.0,8721.0,296.0,402.0,964.0,395.0,71.0,903.0,118.0,62.0,134.0,2279.0
340,gRNA_5501,2856.0,615.0,7035.0,424.0,198.0,1102.0,353.0,61.0,658.0,43.0,122.0,214.0,3293.0
341,gRNA_5621,2128.0,703.0,11663.0,442.0,277.0,1095.0,666.0,107.0,807.0,159.0,46.0,1396.0,2899.0
342,gRNA_5624,2469.0,555.0,9698.0,231.0,184.0,827.0,211.0,25.0,743.0,52.0,71.0,117.0,2389.0
343,gRNA_5625,1993.0,489.0,7199.0,439.0,596.0,1832.0,421.0,70.0,1556.0,110.0,45.0,166.0,3336.0
