,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen3,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
1214,gRNA_14593,1161.0,956.0,211.0,429.0,278.0,494.0,5130.0,524.0,326.0,963.0,891.0,720.0,794.0,3619.0
1215,gRNA_14594,227.0,131.0,24.0,130.0,97.0,96.0,1137.0,159.0,177.0,615.0,457.0,251.0,114.0,1058.0
1216,gRNA_14595,752.0,504.0,125.0,614.0,325.0,494.0,4090.0,562.0,166.0,1483.0,1202.0,443.0,552.0,4136.0
1217,gRNA_14596,650.0,398.0,105.0,528.0,356.0,447.0,4583.0,403.0,282.0,1141.0,1110.0,665.0,695.0,4355.0
1278,gRNA_14657,2016.0,1906.0,554.0,933.0,608.0,802.0,8881.0,1076.0,375.0,1707.0,3162.0,1633.0,1041.0,9809.0
1279,gRNA_14658,2577.0,2611.0,589.0,826.0,869.0,1049.0,10200.0,2300.0,506.0,1790.0,1689.0,1536.0,889.0,14275.0
1280,gRNA_14659,1277.0,1008.0,241.0,559.0,561.0,459.0,5803.0,954.0,367.0,1539.0,941.0,890.0,958.0,6924.0
1281,gRNA_14660,2950.0,2831.0,803.0,638.0,536.0,462.0,4619.0,539.0,237.0,1114.0,780.0,918.0,747.0,7084.0
1282,gRNA_14661,1617.0,1029.0,263.0,1001.0,540.0,857.0,8993.0,1001.0,655.0,1479.0,1444.0,3310.0,1798.0,8235.0
1283,gRNA_14662,9981.0,5877.0,1770.0,831.0,735.0,786.0,10317.0,1202.0,858.0,2881.0,3353.0,1563.0,1698.0,16513.0
1284,gRNA_14663,1280.0,1110.0,316.0,760.0,526.0,541.0,9573.0,996.0,561.0,3486.0,995.0,866.0,1084.0,9531.0
1285,gRNA_14664,4323.0,2327.0,537.0,967.0,752.0,792.0,9040.0,1157.0,290.0,4207.0,1794.0,1320.0,1609.0,9641.0
1286,gRNA_14665,1213.0,937.0,195.0,661.0,608.0,798.0,5994.0,689.0,477.0,2214.0,1482.0,973.0,1267.0,6895.0
1287,gRNA_14666,1589.0,1004.0,228.0,813.0,575.0,762.0,7349.0,892.0,494.0,1746.0,1393.0,1923.0,1215.0,7320.0
1288,gRNA_14667,933.0,657.0,175.0,669.0,663.0,472.0,4837.0,782.0,307.0,1330.0,896.0,683.0,1413.0,6692.0
1289,gRNA_14668,979.0,584.0,125.0,1184.0,684.0,1446.0,8926.0,1374.0,1014.0,3351.0,2174.0,946.0,1753.0,7466.0
1290,gRNA_14669,1188.0,810.0,188.0,493.0,364.0,618.0,5646.0,710.0,415.0,1824.0,823.0,1187.0,1399.0,6657.0
1291,gRNA_14670,4769.0,3730.0,1034.0,1888.0,1256.0,1401.0,10784.0,2042.0,941.0,3365.0,2220.0,1177.0,2400.0,15186.0
1292,gRNA_14671,544.0,433.0,107.0,346.0,248.0,332.0,3445.0,624.0,201.0,548.0,528.0,429.0,386.0,4340.0
1293,gRNA_14672,959.0,547.0,137.0,225.0,190.0,220.0,2417.0,416.0,218.0,591.0,456.0,414.0,382.0,3782.0
1294,gRNA_14673,2161.0,2022.0,458.0,1041.0,622.0,1156.0,9055.0,1380.0,448.0,2834.0,2058.0,1753.0,1242.0,11715.0
1295,gRNA_14674,1941.0,1159.0,396.0,719.0,779.0,706.0,10126.0,847.0,211.0,2169.0,787.0,1506.0,755.0,6769.0
1296,gRNA_14675,1307.0,805.0,241.0,531.0,356.0,690.0,6427.0,636.0,516.0,1531.0,1398.0,844.0,970.0,5698.0
1297,gRNA_14676,6907.0,2729.0,989.0,1260.0,622.0,1757.0,9527.0,1079.0,525.0,1909.0,6539.0,1285.0,1381.0,9945.0
1298,gRNA_14677,1352.0,926.0,175.0,325.0,239.0,335.0,3355.0,374.0,155.0,1128.0,583.0,338.0,392.0,4821.0
1299,gRNA_14678,1922.0,979.0,274.0,916.0,554.0,729.0,6066.0,854.0,487.0,1423.0,1627.0,1116.0,699.0,7412.0
1300,gRNA_14679,2264.0,1304.0,252.0,524.0,638.0,706.0,6669.0,746.0,474.0,1510.0,1378.0,624.0,1134.0,8439.0
1301,gRNA_14680,611.0,356.0,95.0,317.0,276.0,338.0,2712.0,395.0,95.0,1195.0,782.0,317.0,302.0,3449.0
1302,gRNA_14681,1555.0,982.0,284.0,611.0,392.0,586.0,5354.0,872.0,269.0,1437.0,1805.0,707.0,514.0,8585.0
1303,gRNA_14682,2319.0,973.0,363.0,497.0,346.0,343.0,4880.0,624.0,307.0,1009.0,888.0,911.0,1019.0,6889.0
1304,gRNA_14683,994.0,805.0,174.0,402.0,647.0,420.0,4402.0,683.0,475.0,2026.0,722.0,709.0,687.0,4567.0
1305,gRNA_14684,3036.0,2131.0,523.0,1785.0,882.0,1438.0,11163.0,2216.0,678.0,1676.0,1653.0,2154.0,1938.0,11460.0
1306,gRNA_14685,2834.0,2104.0,482.0,1258.0,812.0,1347.0,12211.0,1514.0,1307.0,4365.0,3034.0,1960.0,2551.0,14585.0
1307,gRNA_14686,2083.0,897.0,340.0,618.0,573.0,703.0,7018.0,1228.0,290.0,2114.0,1169.0,1347.0,731.0,7123.0
1308,gRNA_14687,1514.0,886.0,251.0,703.0,488.0,577.0,5428.0,964.0,522.0,2206.0,1245.0,988.0,1246.0,8037.0
1309,gRNA_14688,5086.0,1727.0,737.0,543.0,402.0,614.0,5975.0,596.0,322.0,982.0,1434.0,1116.0,762.0,6474.0
1310,gRNA_14689,680.0,396.0,71.0,428.0,204.0,233.0,1883.0,434.0,111.0,407.0,542.0,302.0,558.0,3361.0
1311,gRNA_14690,1488.0,1115.0,329.0,668.0,543.0,574.0,6723.0,603.0,464.0,1683.0,900.0,862.0,951.0,7470.0
1312,gRNA_14691,649.0,502.0,129.0,382.0,348.0,439.0,3352.0,599.0,232.0,978.0,757.0,459.0,586.0,4690.0
1313,gRNA_14692,1306.0,1339.0,261.0,1185.0,704.0,777.0,8885.0,1459.0,819.0,2601.0,1965.0,1481.0,3704.0,11139.0
1314,gRNA_14693,625.0,418.0,103.0,238.0,171.0,236.0,2762.0,353.0,318.0,352.0,601.0,388.0,472.0,3175.0
1315,gRNA_14694,3557.0,1946.0,677.0,1658.0,1061.0,1804.0,18899.0,2699.0,835.0,3812.0,2785.0,3304.0,3175.0,14831.0
1316,gRNA_14695,1452.0,946.0,381.0,676.0,370.0,523.0,4741.0,676.0,255.0,1256.0,1226.0,1256.0,421.0,4939.0
1317,gRNA_14696,1914.0,899.0,248.0,629.0,339.0,500.0,4475.0,882.0,701.0,836.0,1312.0,623.0,828.0,5712.0
1318,gRNA_14697,350.0,242.0,81.0,385.0,121.0,194.0,2391.0,269.0,93.0,296.0,299.0,500.0,648.0,2328.0
1319,gRNA_14698,980.0,683.0,169.0,276.0,364.0,651.0,5267.0,744.0,218.0,1171.0,2130.0,1264.0,1340.0,8792.0
1320,gRNA_14699,1067.0,514.0,244.0,259.0,179.0,212.0,2742.0,360.0,175.0,762.0,905.0,500.0,704.0,3219.0
1321,gRNA_14700,1189.0,679.0,182.0,484.0,315.0,316.0,6924.0,637.0,335.0,893.0,551.0,1822.0,802.0,5095.0
1322,gRNA_14701,724.0,559.0,126.0,235.0,167.0,175.0,1285.0,114.0,50.0,517.0,313.0,299.0,229.0,3860.0
1323,gRNA_14702,1990.0,1213.0,280.0,831.0,572.0,764.0,9400.0,794.0,608.0,2272.0,1968.0,1883.0,724.0,7702.0
1324,gRNA_14703,501.0,321.0,70.0,274.0,225.0,310.0,2882.0,315.0,245.0,897.0,2592.0,671.0,412.0,2697.0
1325,gRNA_14704,3344.0,2133.0,645.0,463.0,507.0,360.0,4175.0,606.0,188.0,2810.0,1860.0,676.0,1376.0,6445.0
1326,gRNA_14705,763.0,571.0,129.0,470.0,351.0,408.0,3554.0,500.0,373.0,1839.0,976.0,652.0,571.0,5079.0
1327,gRNA_14706,1111.0,685.0,180.0,779.0,149.0,196.0,2433.0,530.0,80.0,909.0,510.0,524.0,952.0,4207.0
1328,gRNA_14707,1955.0,1397.0,312.0,514.0,549.0,1027.0,6125.0,827.0,251.0,1124.0,1808.0,864.0,647.0,11261.0
1329,gRNA_14708,4110.0,2284.0,702.0,860.0,659.0,709.0,9219.0,1196.0,500.0,1897.0,1083.0,2794.0,1459.0,7913.0
1330,gRNA_14709,1413.0,747.0,241.0,671.0,408.0,974.0,6564.0,1933.0,999.0,1320.0,1161.0,678.0,1041.0,6001.0
1331,gRNA_14710,707.0,498.0,101.0,1393.0,161.0,243.0,1699.0,612.0,242.0,782.0,637.0,268.0,618.0,3763.0
1332,gRNA_14711,2836.0,1245.0,412.0,426.0,235.0,470.0,4968.0,784.0,294.0,768.0,815.0,704.0,1093.0,4675.0
1333,gRNA_14712,916.0,561.0,114.0,367.0,325.0,197.0,2761.0,451.0,333.0,878.0,495.0,351.0,495.0,3772.0
1334,gRNA_14713,1166.0,891.0,245.0,491.0,409.0,539.0,3788.0,823.0,233.0,1327.0,809.0,500.0,1663.0,6244.0
1335,gRNA_14714,1255.0,880.0,171.0,458.0,456.0,363.0,4486.0,722.0,383.0,762.0,440.0,817.0,970.0,6257.0
1336,gRNA_14715,1651.0,927.0,273.0,266.0,341.0,245.0,3142.0,360.0,205.0,1399.0,588.0,527.0,417.0,4411.0
1337,gRNA_14716,1491.0,1188.0,261.0,786.0,590.0,858.0,5499.0,743.0,467.0,1524.0,2019.0,517.0,754.0,6793.0
1338,gRNA_14717,2.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0
1339,gRNA_14718,1303.0,1044.0,264.0,704.0,710.0,485.0,5497.0,1366.0,287.0,1095.0,1505.0,662.0,1411.0,7072.0
1340,gRNA_14719,2233.0,1000.0,305.0,470.0,288.0,358.0,3663.0,762.0,228.0,1427.0,893.0,393.0,1014.0,5615.0
1341,gRNA_14720,1934.0,1123.0,312.0,784.0,588.0,1014.0,7577.0,1698.0,462.0,1694.0,3002.0,1414.0,1366.0,8156.0
1342,gRNA_14721,3762.0,1918.0,520.0,993.0,647.0,741.0,8308.0,787.0,279.0,2357.0,1673.0,1591.0,1170.0,9357.0
1343,gRNA_14722,1516.0,980.0,202.0,817.0,784.0,651.0,7231.0,952.0,341.0,2073.0,1585.0,768.0,1112.0,7306.0
1344,gRNA_14723,1150.0,722.0,228.0,437.0,298.0,391.0,3709.0,689.0,276.0,798.0,1107.0,406.0,809.0,5939.0
1345,gRNA_14724,1558.0,1174.0,316.0,575.0,279.0,571.0,7373.0,703.0,349.0,1096.0,880.0,1095.0,1515.0,6324.0
1346,gRNA_14725,1628.0,1029.0,263.0,769.0,395.0,541.0,4744.0,572.0,782.0,1209.0,918.0,745.0,738.0,7516.0
1347,gRNA_14726,1868.0,1104.0,235.0,825.0,654.0,856.0,9674.0,937.0,627.0,2242.0,1137.0,1347.0,2053.0,6345.0
1348,gRNA_14727,13949.0,10909.0,3003.0,3157.0,2308.0,2759.0,34833.0,3440.0,1254.0,9404.0,5156.0,4992.0,4042.0,34960.0
1349,gRNA_14728,951.0,536.0,147.0,459.0,267.0,330.0,4494.0,475.0,175.0,1611.0,595.0,633.0,467.0,4117.0
1350,gRNA_14729,1515.0,911.0,235.0,557.0,408.0,563.0,4540.0,725.0,391.0,1303.0,1191.0,1038.0,987.0,7625.0
1351,gRNA_14730,1229.0,959.0,197.0,451.0,492.0,413.0,4866.0,594.0,321.0,1023.0,1370.0,773.0,506.0,7490.0
1352,gRNA_14731,810.0,551.0,95.0,337.0,325.0,401.0,4034.0,412.0,315.0,1964.0,996.0,1046.0,402.0,4234.0
1353,gRNA_14732,15713.0,7393.0,2386.0,1464.0,1206.0,1620.0,12331.0,2032.0,855.0,2427.0,2965.0,2607.0,1823.0,18980.0
1354,gRNA_14733,1460.0,826.0,277.0,556.0,342.0,480.0,3671.0,407.0,355.0,795.0,901.0,939.0,463.0,6051.0
1355,gRNA_14734,1921.0,1465.0,332.0,1110.0,850.0,979.0,10615.0,1477.0,1046.0,4627.0,1845.0,1488.0,1883.0,10309.0
1356,gRNA_14735,1306.0,605.0,175.0,298.0,243.0,245.0,3315.0,337.0,235.0,986.0,541.0,817.0,387.0,4934.0
1357,gRNA_14736,1563.0,1103.0,311.0,654.0,408.0,490.0,4458.0,721.0,763.0,1146.0,801.0,740.0,865.0,7534.0
1358,gRNA_14737,588.0,403.0,95.0,274.0,282.0,361.0,3360.0,312.0,171.0,958.0,489.0,332.0,369.0,4735.0
1359,gRNA_14738,1053.0,677.0,163.0,822.0,384.0,563.0,4736.0,577.0,475.0,2414.0,1238.0,885.0,775.0,6030.0
1360,gRNA_14739,2410.0,1753.0,425.0,1124.0,753.0,818.0,7663.0,1422.0,1027.0,2934.0,1939.0,1856.0,2091.0,12777.0
1361,gRNA_14740,56.0,38.0,8.0,11.0,16.0,41.0,104.0,30.0,4.0,14.0,31.0,12.0,15.0,410.0
1362,gRNA_14741,1549.0,905.0,228.0,471.0,319.0,485.0,2787.0,460.0,169.0,1199.0,1314.0,445.0,480.0,5572.0
1363,gRNA_14742,2618.0,1544.0,466.0,852.0,581.0,449.0,7407.0,674.0,280.0,1472.0,1582.0,1261.0,972.0,6425.0
1364,gRNA_14743,1269.0,814.0,146.0,422.0,315.0,456.0,5561.0,567.0,654.0,1948.0,921.0,803.0,843.0,4801.0
1365,gRNA_14744,763.0,551.0,124.0,449.0,425.0,535.0,5072.0,723.0,518.0,744.0,968.0,1224.0,972.0,5198.0
1366,gRNA_14745,618.0,398.0,80.0,258.0,229.0,251.0,2577.0,344.0,94.0,708.0,725.0,523.0,541.0,4256.0
1367,gRNA_14746,4469.0,3457.0,1058.0,2357.0,1910.0,2349.0,32399.0,3811.0,1286.0,4195.0,4542.0,3907.0,6274.0,22732.0
1368,gRNA_14747,3402.0,2161.0,574.0,1077.0,762.0,1074.0,10097.0,1205.0,1024.0,2575.0,2350.0,2106.0,1109.0,9419.0
1369,gRNA_14748,2149.0,1429.0,503.0,865.0,506.0,750.0,9579.0,874.0,706.0,2887.0,2247.0,790.0,1587.0,7865.0
1370,gRNA_14749,1204.0,768.0,226.0,587.0,361.0,466.0,4363.0,815.0,674.0,1004.0,1042.0,962.0,737.0,6085.0
1371,gRNA_14750,1062.0,825.0,245.0,445.0,228.0,429.0,2923.0,456.0,450.0,879.0,766.0,505.0,431.0,4880.0
1372,gRNA_14751,2124.0,1318.0,448.0,564.0,457.0,509.0,5083.0,848.0,450.0,1379.0,782.0,631.0,752.0,5438.0
1373,gRNA_14752,1159.0,785.0,177.0,468.0,288.0,511.0,4476.0,685.0,299.0,1481.0,1180.0,581.0,1430.0,6518.0
1374,gRNA_14753,1308.0,848.0,276.0,487.0,239.0,411.0,2270.0,365.0,373.0,852.0,914.0,367.0,471.0,5394.0
1375,gRNA_14754,358.0,215.0,60.0,136.0,53.0,90.0,992.0,252.0,98.0,183.0,220.0,366.0,246.0,1548.0
1376,gRNA_14755,1220.0,636.0,173.0,225.0,167.0,179.0,2410.0,355.0,175.0,651.0,369.0,294.0,185.0,3490.0
1377,gRNA_14756,1087.0,718.0,171.0,503.0,421.0,453.0,4436.0,949.0,543.0,1260.0,932.0,519.0,1140.0,5472.0
1378,gRNA_14757,617.0,347.0,87.0,596.0,390.0,483.0,3472.0,704.0,359.0,1227.0,1808.0,375.0,354.0,4672.0
1379,gRNA_14758,2022.0,1448.0,316.0,705.0,445.0,658.0,7206.0,933.0,261.0,1492.0,1382.0,1092.0,1143.0,7118.0
1380,gRNA_14759,631.0,482.0,86.0,546.0,471.0,566.0,5676.0,791.0,292.0,1566.0,1325.0,675.0,545.0,5845.0
1381,gRNA_14760,780.0,619.0,102.0,468.0,385.0,336.0,4940.0,963.0,446.0,1216.0,923.0,1480.0,914.0,5875.0
1382,gRNA_14761,1730.0,1063.0,298.0,562.0,300.0,498.0,5064.0,672.0,368.0,1670.0,1293.0,557.0,686.0,5801.0
1383,gRNA_14762,1870.0,1238.0,380.0,851.0,463.0,723.0,6322.0,788.0,329.0,1409.0,1673.0,1596.0,1028.0,8237.0
1384,gRNA_14763,597.0,602.0,121.0,305.0,139.0,253.0,1892.0,369.0,245.0,255.0,614.0,190.0,516.0,2634.0
1385,gRNA_14764,3473.0,2703.0,786.0,1189.0,856.0,801.0,7329.0,964.0,844.0,2152.0,2030.0,965.0,1077.0,10059.0
1386,gRNA_14765,2057.0,1414.0,342.0,813.0,478.0,618.0,5027.0,799.0,443.0,960.0,670.0,1274.0,890.0,6842.0
1387,gRNA_14766,847.0,453.0,143.0,893.0,293.0,294.0,3223.0,531.0,316.0,629.0,454.0,328.0,1921.0,3549.0
1388,gRNA_14767,1301.0,818.0,180.0,315.0,327.0,324.0,3144.0,413.0,185.0,1153.0,479.0,419.0,590.0,4350.0
1389,gRNA_14768,1944.0,1426.0,343.0,1201.0,678.0,1343.0,9156.0,1773.0,768.0,4217.0,3252.0,843.0,851.0,9763.0
1390,gRNA_14769,890.0,414.0,128.0,275.0,239.0,316.0,3344.0,472.0,128.0,1586.0,612.0,717.0,609.0,3477.0
1391,gRNA_14770,4667.0,4857.0,1228.0,775.0,663.0,1108.0,9992.0,1451.0,795.0,3847.0,2915.0,1749.0,1851.0,14710.0
1392,gRNA_14771,639.0,373.0,110.0,183.0,212.0,465.0,2525.0,266.0,113.0,541.0,430.0,540.0,412.0,3147.0
1393,gRNA_14772,1897.0,1028.0,309.0,1004.0,571.0,601.0,7552.0,810.0,568.0,1853.0,2024.0,1265.0,1270.0,7507.0
1394,gRNA_14773,1540.0,1383.0,317.0,821.0,744.0,868.0,4476.0,937.0,543.0,3948.0,1536.0,597.0,1210.0,7005.0
1395,gRNA_14774,3410.0,2098.0,594.0,506.0,475.0,608.0,4576.0,555.0,339.0,849.0,767.0,452.0,573.0,7829.0
1396,gRNA_14775,2000.0,1290.0,273.0,583.0,461.0,555.0,6271.0,703.0,460.0,720.0,1854.0,1026.0,736.0,6466.0
1397,gRNA_14776,718.0,455.0,149.0,375.0,119.0,188.0,1605.0,355.0,154.0,515.0,232.0,340.0,600.0,2518.0
1398,gRNA_14777,723.0,484.0,149.0,294.0,217.0,311.0,2224.0,343.0,149.0,704.0,645.0,575.0,379.0,4032.0
1399,gRNA_14778,1407.0,688.0,226.0,511.0,300.0,445.0,3707.0,450.0,189.0,890.0,739.0,680.0,557.0,4885.0
1400,gRNA_14779,785.0,577.0,157.0,516.0,438.0,432.0,4311.0,535.0,442.0,1277.0,776.0,1545.0,775.0,4792.0
1401,gRNA_14780,1776.0,1211.0,284.0,1080.0,536.0,927.0,8915.0,1338.0,393.0,1738.0,2106.0,1883.0,1711.0,9775.0
1402,gRNA_14781,28.0,6.0,3.0,8.0,10.0,11.0,188.0,13.0,0.0,71.0,4.0,6.0,2.0,210.0
1403,gRNA_14782,1267.0,985.0,330.0,384.0,260.0,483.0,4519.0,707.0,212.0,884.0,793.0,692.0,1049.0,6308.0
1404,gRNA_14783,2361.0,1524.0,398.0,1054.0,464.0,790.0,6184.0,950.0,476.0,989.0,2693.0,770.0,966.0,9105.0
1405,gRNA_14784,1101.0,773.0,208.0,486.0,355.0,511.0,4379.0,919.0,358.0,1078.0,946.0,667.0,590.0,4480.0
1406,gRNA_14785,2582.0,1457.0,346.0,933.0,718.0,1063.0,11036.0,1016.0,447.0,3210.0,2836.0,1815.0,970.0,10393.0
1407,gRNA_14786,316.0,201.0,75.0,134.0,156.0,241.0,3714.0,341.0,41.0,1236.0,853.0,221.0,439.0,2321.0
1408,gRNA_14787,700.0,530.0,144.0,210.0,122.0,323.0,2152.0,333.0,154.0,658.0,900.0,227.0,347.0,3173.0
1409,gRNA_14788,1488.0,1080.0,333.0,446.0,310.0,444.0,3426.0,531.0,275.0,2134.0,1078.0,703.0,1011.0,5945.0
1410,gRNA_14789,728.0,541.0,97.0,447.0,283.0,456.0,5070.0,448.0,211.0,2077.0,727.0,887.0,822.0,5062.0
1411,gRNA_14790,1054.0,683.0,97.0,831.0,263.0,572.0,3693.0,458.0,232.0,989.0,1049.0,792.0,878.0,4231.0
1412,gRNA_14791,1736.0,1190.0,322.0,791.0,475.0,821.0,9488.0,1696.0,313.0,2583.0,1349.0,1806.0,932.0,10325.0
1413,gRNA_14792,1616.0,1288.0,335.0,798.0,702.0,591.0,7689.0,1006.0,530.0,1776.0,1061.0,1445.0,1040.0,8629.0
1414,gRNA_14793,864.0,746.0,167.0,569.0,560.0,630.0,5127.0,893.0,483.0,1470.0,1907.0,737.0,871.0,7468.0
1415,gRNA_14794,655.0,384.0,95.0,200.0,209.0,117.0,1754.0,267.0,141.0,441.0,332.0,235.0,796.0,2616.0
1416,gRNA_14795,1983.0,1639.0,345.0,622.0,425.0,783.0,6196.0,908.0,295.0,1993.0,1097.0,1241.0,1476.0,6123.0
1417,gRNA_14796,2404.0,1098.0,337.0,431.0,349.0,486.0,4697.0,669.0,334.0,1206.0,1541.0,1445.0,572.0,4510.0
1418,gRNA_14797,1100.0,643.0,128.0,380.0,236.0,433.0,5264.0,389.0,244.0,1286.0,1378.0,1116.0,455.0,4642.0
1419,gRNA_14798,558.0,502.0,121.0,209.0,211.0,295.0,2599.0,376.0,137.0,820.0,785.0,493.0,539.0,3589.0
1420,gRNA_14799,1405.0,1055.0,203.0,380.0,297.0,522.0,5182.0,667.0,334.0,552.0,1790.0,545.0,1040.0,5149.0
1421,gRNA_14800,2795.0,1450.0,563.0,914.0,587.0,1427.0,8320.0,1163.0,843.0,1190.0,3242.0,1245.0,1770.0,9318.0
1422,gRNA_14801,1475.0,873.0,249.0,573.0,478.0,520.0,3493.0,793.0,615.0,1929.0,1145.0,507.0,872.0,7845.0
1423,gRNA_14802,1667.0,1281.0,356.0,821.0,660.0,926.0,8978.0,1699.0,550.0,1765.0,1568.0,1135.0,1361.0,10791.0
1424,gRNA_14803,2047.0,1184.0,249.0,1041.0,495.0,871.0,8109.0,894.0,557.0,1262.0,1923.0,1152.0,1825.0,8805.0
1425,gRNA_14804,1806.0,1076.0,286.0,784.0,493.0,731.0,6496.0,754.0,263.0,1086.0,1719.0,796.0,713.0,8163.0
1426,gRNA_14805,4080.0,2245.0,631.0,307.0,314.0,354.0,2856.0,395.0,209.0,722.0,430.0,400.0,387.0,3586.0
1427,gRNA_14806,764.0,478.0,127.0,233.0,188.0,654.0,3123.0,413.0,186.0,371.0,673.0,959.0,319.0,3198.0
1428,gRNA_14807,1474.0,1136.0,304.0,806.0,785.0,641.0,9450.0,1272.0,410.0,2427.0,737.0,1863.0,1234.0,10614.0
1429,gRNA_14808,4621.0,3347.0,788.0,1239.0,650.0,998.0,6458.0,1226.0,1193.0,2818.0,1653.0,1245.0,1297.0,11739.0
1430,gRNA_14809,2777.0,1717.0,325.0,233.0,195.0,238.0,2154.0,307.0,109.0,781.0,720.0,451.0,310.0,2937.0
1431,gRNA_14810,2983.0,2160.0,642.0,892.0,667.0,675.0,7562.0,1144.0,717.0,2182.0,1635.0,1289.0,1518.0,8570.0
1432,gRNA_14811,1397.0,1050.0,235.0,988.0,688.0,669.0,6901.0,1138.0,571.0,2708.0,1552.0,703.0,1520.0,9391.0
1433,gRNA_14812,3122.0,1486.0,563.0,415.0,289.0,302.0,3674.0,622.0,414.0,643.0,1393.0,745.0,400.0,4222.0
1434,gRNA_14813,1048.0,669.0,136.0,419.0,254.0,283.0,3850.0,465.0,444.0,615.0,650.0,662.0,433.0,4542.0
1435,gRNA_14814,591.0,433.0,137.0,273.0,138.0,298.0,2239.0,311.0,187.0,432.0,731.0,632.0,334.0,3940.0
1436,gRNA_14815,1038.0,489.0,194.0,484.0,298.0,370.0,5925.0,499.0,235.0,581.0,859.0,524.0,590.0,4454.0
1437,gRNA_14816,2958.0,1608.0,474.0,862.0,602.0,798.0,10653.0,1237.0,357.0,2171.0,1670.0,1209.0,1309.0,9288.0
1438,gRNA_14817,417.0,237.0,56.0,261.0,259.0,308.0,2103.0,321.0,260.0,925.0,800.0,621.0,372.0,2949.0
1439,gRNA_14818,3378.0,1783.0,554.0,792.0,401.0,356.0,4107.0,518.0,249.0,1210.0,761.0,442.0,668.0,6388.0
1440,gRNA_14819,1351.0,859.0,229.0,315.0,186.0,304.0,2835.0,436.0,203.0,703.0,581.0,739.0,557.0,4012.0
1441,gRNA_14820,1316.0,831.0,268.0,351.0,198.0,387.0,3871.0,376.0,186.0,700.0,812.0,539.0,762.0,4669.0
1442,gRNA_14821,1922.0,1197.0,310.0,694.0,564.0,758.0,6919.0,1581.0,250.0,1408.0,1940.0,1154.0,996.0,8019.0
1443,gRNA_14822,1018.0,668.0,159.0,445.0,289.0,291.0,4002.0,404.0,187.0,1405.0,474.0,526.0,241.0,4376.0
1444,gRNA_14823,1201.0,740.0,212.0,294.0,178.0,345.0,3285.0,569.0,192.0,1044.0,414.0,538.0,559.0,4878.0
1445,gRNA_14824,3047.0,1651.0,598.0,418.0,339.0,399.0,3605.0,640.0,289.0,1444.0,805.0,905.0,460.0,6425.0
1446,gRNA_14825,1807.0,1049.0,243.0,1262.0,848.0,942.0,12104.0,1584.0,530.0,2829.0,1809.0,1820.0,1038.0,7659.0
1447,gRNA_14826,2394.0,1656.0,445.0,794.0,504.0,1153.0,6051.0,916.0,640.0,2188.0,1535.0,752.0,1131.0,9240.0
1448,gRNA_14827,1925.0,1432.0,416.0,1110.0,649.0,1036.0,8652.0,959.0,383.0,2614.0,1854.0,1568.0,1140.0,9908.0
1449,gRNA_14828,683.0,460.0,131.0,655.0,359.0,456.0,2982.0,471.0,464.0,1299.0,604.0,418.0,759.0,3738.0
1450,gRNA_14829,3582.0,2440.0,672.0,2198.0,573.0,1093.0,7740.0,1396.0,680.0,3489.0,1671.0,1503.0,1312.0,13882.0
1451,gRNA_14830,1832.0,1179.0,370.0,996.0,792.0,800.0,7465.0,1250.0,485.0,2161.0,1498.0,1822.0,798.0,12399.0
1452,gRNA_14831,1306.0,946.0,213.0,1552.0,913.0,801.0,8631.0,1556.0,759.0,2312.0,1708.0,1212.0,3047.0,9363.0
1453,gRNA_14832,2085.0,1190.0,431.0,1520.0,949.0,1394.0,16045.0,1672.0,968.0,3004.0,3305.0,2109.0,1502.0,14130.0
1454,gRNA_14833,3388.0,2288.0,624.0,791.0,593.0,552.0,8670.0,888.0,537.0,2308.0,1195.0,2036.0,752.0,9616.0
1455,gRNA_14834,7848.0,3605.0,1113.0,495.0,421.0,618.0,6900.0,579.0,276.0,811.0,1139.0,1271.0,482.0,7098.0
